name,code
paneer,160
hair dryer,341
pen,510
brinjal,110
potato,110
onion,115
tomato,110
pumpkin,110
cabbage,115
bottle gourd,110
jack fruit,110
bitter gourd,110
apple,120
pineapple,120
apricot,120
gooseberry,120
aronia,120
granadilla,120
grapes,120
grapefruit,120
guanabana,120
orange,120
guava,120
banana,120
coca-cola,130
pepsi,130
mountain dew,130
kissan squash,130
mirinda,130
fanta,130
fruity,130
appy,130
water bottle,130
7up,130
sprite,130
fresca,130
butter,140
bread,140
lays,140
kurkure,140
uncle chips,140
tedhe medhe,140
bingo mad angles,140
fun stix,140
bingo starters,140
too yumm,140
kurkure monster cups,140
lays crisp,140
maggi noodles,150
noodles,150
pasta,150
macroni,150
maggi magic masala,150
mayannaise,150
soya sauce,150
tomato ketchup,150
mustard sauce,150
chilli sauce,150
